author,list_of_contents,publish_date,summary,tags,title,url
Harrison Hoffman,"Install LangGraph,Create Test Cases,Work With State Graphs,	LangChain Chains and Their Limitations,	Build Your First State Graph,Work With Conditional Edges,	Create a Conditional Edge,	Use Conditional Edges for Cycles,Develop Graph Agents,	Structure Agents as Graphs,	Test Your Graph Agent,Conclusion,Frequently Asked Questions","by , Mar 19, 2025
    
    
      ","LangGraph is a versatile Python library designed for stateful, cyclic, and multi-actor Large Language Model (LLM) applications. This tutorial will give you an overview of LangGraph fundamentals through hands-on examples, and the tools needed to build your own LLM workflows and agents in LangGraph.","intermediate,data-science",LangGraph: Build Stateful AI Agents in Python,https://realpython.com/langgraph-python/
Leodanis Pozo Ramos,"Defining Code Quality,	Low-Quality Code,	High-Quality Code,	The Importance of Code Quality,Exploring Code Quality in Python With Examples,	Functionality,	Readability,	Documentation,	Compliance,	Reusability,	Maintainability,	Robustness,	Testability,	Efficiency,	Scalability,	Security,Managing Trade-Offs Between Code Quality Characteristics,Applying Best Practices for High-Quality Code in Python,	Style Guides,	Code Reviews,	AI Assistants,	Documentation Tools,	Code Linters,	Static Type Checkers,	Code Formatters,	Code Testing,	Code Profilers,	Vulnerability Checkers,Deciding When to Check the Quality of Your Code,Conclusion,Frequently Asked Questions","by , Mar 24, 2025
    
    
      ","In this tutorial, you'll learn about code quality and the key factors that make Python code high-quality. You'll explore effective strategies, powerful tools, and best practices to elevate your code to the next level.","intermediate,best-practices,python,tools",Python Code Quality: Best Practices and Tools,https://realpython.com/python-code-quality/
Charles de Villiers,"NumPy: Numerical Python,	Introducing NumPy,	Creating and Using NumPy Arrays,	Creating Arrays in Other Ways,NumPy’s max(): The Maximum Element in an Array,	Using max(),	Handling Missing Values in np.max(),	Exploring Related Maximum Functions,NumPy’s maximum(): Maximum Elements Across Arrays,	Using np.maximum(),	Handling Missing Values in np.maximum(),Advanced Usage,	Reusing Memory,	Filtering Arrays,	Comparing Differently Shaped Arrays With Broadcasting,	Following Broadcasting Rules,Conclusion,Frequently Asked Questions","by , Jan 18, 2025
    
    
      ","In this introduction to NumPy, you'll learn how to find extreme values using the max() and maximum() functions. This includes finding the maximum element in an array or along a given axis of an array, as well as comparing two arrays to find the larger element in each index position.","basics,data-science,numpy",NumPy's max() and maximum(): Find Extreme Values in Arrays,https://realpython.com/numpy-max-maximum/
Ian Eyre,"Getting Started With DuckDB,	Creating a Database From a Data Source,	Correcting Your Data Import Errors,Querying the Database,	Querying Tables,	Querying Relations,Using Concurrency,	Performing Concurrent Reads,	Performing Concurrent Writes,Integrating DuckDB Within Your Python Environment,	Creating Python Functions for DuckDB to Use,	Using Polars and pandas With DuckDB,Next Steps,Conclusion,Frequently Asked Questions","by , Mar 26, 2025
    
    
      ","In this showcase tutorial, you'll be introduced to a library that allows you to use a database in your code. DuckDB provides an efficient relational database that supports many features you may already be familiar with from more traditional relational database systems.","intermediate,databases,data-science,python",Introducing DuckDB,https://realpython.com/python-duckdb/
Bartosz Zaczyński,"Understanding Python’s bytearray Type,Creating bytearray Objects in Python,	The bytearray() Constructor,	The .fromhex() Class Method,Comparing bytearray to bytes Objects,	Public Methods,	Supported Operators,	Expressions With bytearray and bytes,Manipulating bytearray Objects in Python,	String-Like Operations,	Immutable Sequence Operations,	Mutable Sequence Operations,	Byte-Specific Operations,Conclusion,Frequently Asked Questions","by , Mar 31, 2025
    
    
      ","In this tutorial, you'll learn about Python's bytearray, a mutable sequence of bytes for efficient binary data manipulation. You'll explore how it differs from bytes, how to create and modify bytearray objects, and when to use them in tasks like processing binary files and network protocols.","intermediate,python",Python's Bytearray: A Mutable Sequence of Bytes,https://realpython.com/python-bytearray/
Bartosz Zaczyński,"Printing in a Nutshell,	Producing Blank Lines,	Dealing With Newlines,	Passing Arguments,	Separating Multiple Arguments,	Preventing Line Breaks,	Printing to a File,	Buffering print() Calls,	Printing Custom Data Types,Understanding Python print(),	From Statement to Function,	Benefits of Functions,Printing With Style,	Pretty-Printing Nested Data Structures,	Adding Colors With ANSI Escape Sequences,	Building Console User Interfaces,	Living It Up With Cool Animations,	Making Sounds With print(),Mocking Python print() in Unit Tests,	Using Dependency Injection,	Applying Monkey Patching,Debugging Approaches in Python,	Tracing,	Logging,	Debugging,Printing in a Thread-Safe Manner,	Understanding Thread Safety,	Demonstrating Unsafe Printing,	Fixing the Problem,	Making print() Thread-Safe,	Relying on Logging,Exploring Printing Counterparts,	Collecting User Input,	Handling Input Securely,	Adding Readline Capabilities,	Evaluating Third-Party Libraries,Conclusion,Frequently Asked Questions","by , Jun 25, 2025
    
    
      ","Learn how Python's print() function works, avoid common pitfalls, and explore powerful alternatives and hidden features that can improve your code.","basics,python",Your Guide to the Python print() Function,https://realpython.com/python-print/
Ian Eyre,"How to Get Started in a marimo Notebook,	Adding Code and Markdown Content,	Taking a First Look at Reactivity,How marimo’s Reactivity Supports Reproducibility,	Adding Code in an Unexpected Order,	Working Out the Cell Running Order,	Exploring Further Change Reactions,How marimo’s User Interface Elements Provide Interactivity,	Creating a Basic Dashboard,	Adding Interactivity,	Adding the UI Elements,	Displaying the UI Elements in Your Notebook,	Bringing the UI Elements to Life,	Testing Your Skills,How marimo Makes Notebooks Distributable,	Managing the Notebook’s Environment With Sandboxing,	Practicing Sandboxing,	Exporting a Notebook,	Running a Notebook as a Script,	Adding Some Explanatory Markdown,	Creating the Script,Why Linear Notebooks Don’t Quite Cut It Anymore,	Redefinitions,	Cell Running Order,	Expired Data Retention,Conclusion,Frequently Asked Questions","by , May 26, 2025
    
    
      ","Discover how marimo notebook simplifies coding with reactive updates, UI elements, and sandboxing for safe, sharable notebooks.","intermediate,data-science,editors,python,tools","marimo: A Reactive, Reproducible Notebook",https://realpython.com/marimo-notebook/
Abdelhadi Dyouri,"Installing Loguru,	Verifying the Installation,	Understanding Basic Setup Considerations,Learning the Fundamentals of Logging With Loguru,	Getting Started With Zero Configuration,	Understanding Log Levels,	Customizing Logs,	Adding Context to Logs,	Logging to Files Using Loguru,Error Handling and Debugging With Loguru,	Using the @logger.catch Decorator,	Using Improved Tracebacks With Customized Error Messages,	Debugging With Contextualized Errors,Structured Logging for Modern Applications,	Formatting Logs as JSON,	Creating Custom JSON Formats,Conclusion,Next Steps,Frequently Asked Questions","by , May 07, 2025
    
    
      ","Learn how to use Loguru to implement better logging in your Python applications quickly and with less configuration. Spend more time debugging effectively with cleaner, more informative logs.","intermediate,tools",How to Use Loguru for Simpler Python Logging,https://realpython.com/python-loguru/
Leodanis Pozo Ramos,"Windows: How to Check or Get Python,	Checking the Python Version on Windows,	Knowing the Python Installation Options on Windows,Windows: How to Install Python Using the Official Installer,	Step 1: Download the Official Python Installer,	Step 2: Run the Python Installer,Windows: How to Install Python From the Microsoft Store,	Step 1: Open the Python App Page on the Microsoft Store,	Step 2: Install the Python App,macOS: How to Check or Get Python,	Checking the Python Version on a macOS,	Knowing the Python Installation Options on macOS,macOS: How to Install Python Using the Official Installer,	Step 1: Download the Python Official Installer,	Step 2: Run the Python Installer,macOS: How to Install Python From Homebrew,	Step 1: Install the Homebrew Package Manager,	Step 2: Install Python With Homebrew,Linux: How to Check or Get Python,	Checking the Python Version on Linux,	Knowing the Python Installation Options on Linux,Linux: How to Build Python From Source Code,	Step 1: Download the Python Source Code,	Step 2: Prepare Your System for Building Python,	Step 3: Build and Install Python on Your System,	Step 4: Verify Your Python Installation,iOS: How to Install Python,Android: How to Install Python on Android,Online: How to Use a Python Playground,Conclusion,Frequently Asked Questions","by , Jan 19, 2025
    
    
      ","The first step to getting started with Python is to install it on your machine. In this tutorial, you'll learn how to check which version of Python, if any, you have on your Windows, Mac, or Linux computer and the best way to install the most recent version in any environment.","basics,best-practices,tools",How to Install Python on Your System: A Guide,https://realpython.com/installing-python/
Ian Eyre,"Aggregating Data,	Learning the Basics,	Investigating Other Aggregation Techniques,	Trying Out Your Data Aggregation Skills,Grouping Aggregated Data With Polars .group_by(),	Learning the Basics,	Understanding the Power of Expressions,Grouping and Aggregating by Multiple Columns,	Performing a Data Sub-Grouping,	Tweaking Your Sorting,	Trying Out Your Data Grouping and Aggregation Skills,Grouping and Aggregating Time Series With .group_by_dynamic(),	Performing a Time-Series Grouping,	Trying Out Your Time Series Analysis Skills,Grouping and Aggregating Using Window Functions,	Working With Window Functions,	Trying Out Your Window Function Skills,Grouping and Aggregating Using Pivot Tables,	Creating a Pivot Table,	Customizing Column Order,	Digging Deeper With Your Analysis,	Trying Out Your Pivot Table Skills,Conclusion,Frequently Asked Questions","by , May 19, 2025
    
    
      ","Start using Polars .group_by() to make sense of your data. This tutorial shows you how to group, aggregate, and reveal hidden insights with hands-on examples.","intermediate,data-science,python",How to Group Data Using Polars .group_by(),https://realpython.com/polars-groupby/
Negar Vahid,"Learn Essential Technical Terms,	Waveform,	Amplitude,	Frequency,	Sampling,Get Started With TorchAudio,	Install TorchAudio,	Explore the Speech Commands Dataset,	Load the Dataset Using TorchAudio,	Load an Example Audio File,	Understand Audio Tensors (Waveforms),	Listen to Your Audio Files,Investigate Preprocessing and Data Augmentation Methods,	Resample Audio,	Apply Padding and Trimming,	Standardize the Dataset,	Normalize Audio,	Create Spectrograms,	Visualize Audio Spectrograms,	Add Additive White Gaussian Noise (AWGN),Create a Custom PyTorch Dataset,Next Steps,Conclusion,Frequently Asked Questions","by , Jun 30, 2025
    
    
      ","Learn to prepare audio data for deep learning in Python using TorchAudio. Explore how to load, process, and convert speech to spectrograms with PyTorch tools.","intermediate,machine-learning",Use TorchAudio to Prepare Audio Data for Deep Learning,https://realpython.com/python-torchaudio/
Leodanis Pozo Ramos,"Getting to Know Control Flow in Python,Using Conditional Statements,	Using if to Make Decisions,	Nesting Conditionals and Using Boolean Operators,	Chaining Multiple Conditions With elif,	Running a Default Code Block With else,	Conditional Expressions,Repeating Code With for and while Loops,	The for Loop to Traverse Iterables,	The while Loop for Conditional Iteration,	The break and continue Statements,	The else Clause in Loops,	Nested Loops,	Comprehensions,Repeating Code Through Recursion,Exploring Other Structures Related to Control Flow,	The return Statement,	The yield Statement,	The raise Statement,	The with Statement,Using try … except Blocks to Control Flow,	Handling Errors With try … except Blocks,	Running Post-Success Code With the else Clause,	Cleaning Up With the finally Clause,Matching Patterns With match … case,Common Pitfalls and Best Practices,	Unintentional Infinite Loops,	Always True or False Conditions,	Wrong Order of Conditions,	Too Broad Exceptions,	Hard-to-Read Nested Constructs,Conclusion,Frequently Asked Questions","by , May 28, 2025
    
    
      ","Take control of your code with Python control flow structures. You'll learn with real examples using loops, conditionals, try-except blocks, and pattern matching.","intermediate,python",Control Flow Structures in Python,https://realpython.com/python-control-flow/
Leodanis Pozo Ramos,"Getting Started With Python’s min() and max() Functions,	Calling min() and max() With a Single Iterable Argument,	Calling min() and max() With Multiple Arguments,Using min() and max() With Strings and Iterables of Strings,Processing Dictionaries With min() and max(),Tweaking the Standard Behavior of min() and max() With key and default,Using min() and max() With Comprehensions and Generator Expressions,Putting Python’s min() and max() Into Action,	Removing the Smallest and Largest Numbers in a List,	Building Lists of Minimum and Maximum Values,	Clipping Values to the Edges of an Interval,	Finding the Closest Points,	Identifying Cheap and Expensive Products,	Finding Coprime Integer Numbers,	Timing Different Implementations of Your Code,Exploring the Role of .__lt__() and .__gt__() in min() and max(),Emulating Python’s min() and max(),	Understanding the Code Behind min() and max(),	Planning Your Custom min() and max() Versions,	Standardizing the Input Data From *args,	Processing the default Argument,	Handling the Optional key Function,	Finding Minimum and Maximum Values,	Coding Your Custom min() and max() Functions,Conclusion,Frequently Asked Questions","by , Jan 18, 2025
    
    
      ","In this tutorial, you'll learn how to use Python's built-in min() and max() functions to find the smallest and largest values. You'll also learn how to modify their standard behavior by providing a suitable key function. Finally, you'll code a few practical examples of using min() and max().","basics,python",Python's min() and max(): Find Smallest and Largest Values,https://realpython.com/python-min-and-max/
Harrison Hoffman,"Represent Data as Vectors,	Vector Basics,	Vector Similarity,Encode Objects in Embeddings,	Word Embeddings,	Text Embeddings,Get Started With ChromaDB, an Open-Source Vector Database,	What Is a Vector Database?,	Meet ChromaDB for LLM Applications,Practical Example: Add Context for a Large Language Model (LLM),	Prepare and Inspect Your Dataset,	Create a Collection and Add Reviews,	Connect to an LLM Service,	Provide Context to the LLM,Conclusion",by ,"Vector databases are a crucial component of many NLP applications. This tutorial will give you hands-on experience with ChromaDB, an open-source vector database that's quickly gaining traction. Along the way, you'll learn what's needed to understand vector databases with practical examples.","advanced,databases,data-science,machine-learning",Embeddings and Vector Databases With ChromaDB,https://realpython.com/chromadb-vector-database/
Leodanis Pozo Ramos,"Getting to Know uv for Python,Installing uv to Manage Python Projects,	Using the Standalone Installer,	Installing From PyPI,	Upgrading to the Latest uv Version,Handling Python Projects With uv,	Creating a Python Project,	Running the Project’s Entry-Point Script,Using uv for Dependency Management,	Adding and Installing Dependencies,	Upgrading and Removing Dependencies,	Managing Development Dependencies,	Locking and Syncing the Environment,Building and Publishing Packages,	Configuring the Project,	Building a Distribution,	Publishing a Distribution,Conclusion,Frequently Asked Questions","by , Apr 28, 2025
    
    
      ","In this tutorial, you'll learn how to create and manage your Python projects using uv, an extremely fast Python package and project manager written in Rust.","intermediate,tools",Managing Python Projects With uv: An All-in-One Solution,https://realpython.com/python-uv/
Leodanis Pozo Ramos,"Getting to Know Python’s Magic or Special Methods,Controlling the Object Creation Process,	Initializing Objects With .__init__(),	Creating Objects With .__new__(),Representing Objects as Strings,	User-Friendly String Representations With .__str__(),	Developer-Friendly String Representations With .__repr__(),Supporting Operator Overloading in Custom Classes,	Arithmetic Operators,	More on Arithmetic Operators,	Comparison Operator Methods,	Membership Operators,	Bitwise Operators,	Augmented Assignments,Introspecting Your Objects,Controlling Attribute Access,	Retrieving Attributes,	Setting Attributes,	Deleting Attributes,Managing Attributes Through Descriptors,Supporting Iteration With Iterators and Iterables,	Creating Iterators,	Building Iterables,Making Your Objects Callable,Implementing Custom Sequences and Mappings,Handling Setup and Teardown With Context Managers,Conclusion",by ,"In this tutorial, you'll learn what magic methods are in Python, how they work, and how to use them in your custom classes to support powerful features in your object-oriented code.","advanced,python",Python's Magic Methods: Leverage Their Power in Your Classes,https://realpython.com/python-magic-methods/
Leodanis Pozo Ramos,"Getting to Know Namespaces in Python,	The Built-in Namespace,	The Global Namespace,	The Local Namespace,	The Enclosing or Nonlocal Namespace,Understanding the Scope of Names,	The LEGB Rule for Searching Names,	The LEGB Rule in Action,Shadowing Built-in Names in Python,Managing Namespace Dictionaries,	The globals() Function,	The locals() Function,	The Difference Between globals() and locals(),Modifying Variables From a Different Namespace,	The global Statement,	The nonlocal Statement,Conclusion,Frequently Asked Questions","by , Apr 14, 2025
    
    
      ","In this tutorial, you'll learn about Python namespaces, the structures that store and organize the symbolic names during the execution of a Python program. You'll learn when namespaces are created, how they're implemented, and how they support variable scope.","intermediate,python",Namespaces in Python,https://realpython.com/python-namespace/
Martin Breuss,"Understand the Project and Approach,	The Selenium Project,	Your Bandcamp Discover Music Player,	The POM Design Pattern,	This Tutorial,Set Up Your Environment,	Install Selenium,	Set Up GeckoDriver for Firefox,	Verify Your Setup,Navigate a Web Page With Python and Selenium,	Understand the DOM Structure of Bandcamp,	Launch a Headless Browser and Navigate to a URL,	Locate Elements in the DOM,Interact With Web Elements,	Click Buttons and Links,	Send Keystrokes and Text Entry,	Deal With Hidden or Overlaid Elements,	Use Hover, Drag-and-Drop, and More Complex Gestures,	Submit Forms,Handle Dynamic Content,	Understand Implicit, Explicit, and Fluent Waits,	Set Up an Implicit Wait,	Use Explicit Waits for Targeted Waiting,	Choose From Common Expected Conditions,	Handle Synchronization Issues,Implement the Page Object Model (POM),	Understand the POM Design Pattern,	Establish a Base for Pages and Elements,	Describe Your Web Page as a Page Object,	Define Reusable Web Elements,	Keep Locators Separate,	Enjoy the Benefits of the POM in Practice,Build the Music Player App,	Create Your Music Player Class,	Assemble a Text-Based User Interface,	Make Your App Executable,Next Steps,Conclusion,Frequently Asked Questions","by , Apr 30, 2025
    
    
      ","Learn advanced Python web automation techniques with Selenium, such as headless browsing, interacting with web elements, and implementing the Page Object Model pattern.","intermediate,projects,testing,web-scraping",Modern Web Automation With Python and Selenium,https://realpython.com/modern-web-automation-with-python-and-selenium/
